eventID,year,month,day,LatReloc,LonReloc,depthReloc,mag,LatCat,LonCat,depthCat
texnet2018anlz,2018,1,8,31.1774,-103.83235,5.947,1.71,31.18287,-103.84486,6.774
texnet2018anmz,2018,1,8,31.17747,-103.83237,4.49,1.54,31.17507,-103.8368,5.797
texnet2018anrc,2018,1,8,31.17744,-103.8322,5.966,1.37,31.17093,-103.84054,6.774
texnet2018anxv,2018,1,8,31.50433,-103.71813,5.745,1.68,31.50847,-103.72547,5.437
texnet2018anxx,2018,1,8,31.50381,-103.7175,5.689,1.8,31.49698,-103.72599,5.797
texnet2018aoen,2018,1,8,31.177,-103.83273,5.929,1.88,31.16449,-103.84373,7.083
texnet2018aokn,2018,1,8,31.18939,-103.80535,4.754,2.25,31.20225,-103.80849,6.054
texnet2018aorb,2018,1,9,31.38802,-103.47508,3.109,1.3,31.39411,-103.47463,4.769
texnet2018aotj,2018,1,9,31.17648,-103.81764,9.007,1.7,31.18113,-103.79773,9.448
texnet2018aoxg,2018,1,9,31.40188,-103.50502,1.359,1.45,31.38699,-103.4894,1.453
texnet2018aozx,2018,1,9,31.40613,-103.50768,1.988,1.36,31.39987,-103.50334,1.298
texnet2018apay,2018,1,9,31.17842,-103.83241,5.976,1.64,31.18383,-103.82665,6.054
texnet2018apeu,2018,1,9,31.18832,-103.80542,4.807,1.39,31.19401,-103.78919,4.923
texnet2018apgp,2018,1,9,31.17577,-103.83014,6.006,2.15,31.17095,-103.83304,6.054
texnet2018apho,2018,1,9,31.18662,-103.3313,6.569,1.74,31.18389,-103.32756,4.82
texnet2018apiv,2018,1,9,31.17609,-103.83026,6.062,2.45,31.17555,-103.82984,6.26
texnet2018apkl,2018,1,9,31.17518,-103.83,6.074,2.35,31.17462,-103.83305,6.054
texnet2018apml,2018,1,9,31.18995,-103.80552,4.871,1.35,31.18386,-103.80844,4.923
texnet2018appe,2018,1,9,31.17938,-103.83242,5.868,2.01,31.19302,-103.82454,6.054
texnet2018appf,2018,1,9,31.17926,-103.83289,5.957,1.11,31.1636,-103.83088,4.101
texnet2018appg,2018,1,9,31.17882,-103.83266,5.936,1.48,31.19022,-103.84809,6.157
texnet2018appn,2018,1,9,31.1766,-103.83255,5.918,2.2,31.17923,-103.82771,4.82
texnet2018aqau,2018,1,9,31.18758,-103.80307,4.797,1.85,31.17512,-103.81324,3.329
texnet2018aqcw,2018,1,9,31.17481,-103.83029,6.013,2.02,31.18385,-103.81487,6.054
texnet2018aqeg,2018,1,9,31.17654,-103.83031,6.079,2.19,31.17921,-103.83521,6.054
texnet2018aqgz,2018,1,9,31.17768,-103.8302,6.095,1.97,31.18474,-103.8288,6.054
texnet2018aqjq,2018,1,9,31.1791,-103.83306,6.17,1.5,31.18015,-103.82771,6.054
texnet2018aqma,2018,1,10,31.17787,-103.83018,6.071,2.12,31.17459,-103.84911,6.054
texnet2018aqpv,2018,1,10,31.17462,-103.82968,6.123,1.98,31.17465,-103.82127,5.335
texnet2018aqtr,2018,1,10,31.17949,-103.83274,5.729,1.66,31.1783,-103.83413,6.054
